region,model,MEC,MAC,SSA,AE,lifetime_BC_OA,precip,emi_BC_OA,abs550aer
africa,CAM5-ATRAS_AP3-CTRL,4.578295238336831,0.5226747112600848,0.9120077066266186,1.6167111260030382,2.739870541175206,0.7229889387036927,2.558591590151661e-10,0.02815200013144667
africa,CAM5.3-Oslo_AP3-CTRL2016-PD,4.840159231786542,0.5657118234155833,0.9095563197541316,0.8286586081984919,3.9756565549304907,0.7905730606507901,1.6045840079096258e-10,0.030966581652645507
africa,CAM5_CTRL2016,5.365747080186868,1.5978919699078178,0.8425860398980497,,,0.34066604337102174,4.632690199318702e-12,0.035842997452338515
africa,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5.163127302339337,1.050695210646053,0.8680300742596281,1.3200795446798683,,0.47325940505870384,9.408495667985195e-12,0.04426578503770183
africa,ECHAM6-HAM2_AP3-CTRL2016-PD,4.400983723161544,,,,3.5923240265555565,0.0002660613949185012,2.7698671701034516e-10,
africa,ECHAM6-SALSA_CTRL2016-PD,3.967496780584293,,,,4.36582012689608,0.44690845505931936,2.7698678628076887e-10,
africa,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,4.502344995679663,1.027968223280059,0.8453461087696948,1.4990814911455477,3.518948842476991,0.3770453369602601,1.0263720420298561e-10,0.03151312920373005
africa,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,5.284147556173943,1.3726600185562083,0.841246749199215,1.333720766494451,3.598918294914155,0.12243076932910707,1.0454736952703392e-10,0.04302774238082417
africa,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4.746786264177384,,,,2.6094812139854815,0.6752117039942023,3.287367550163523e-10,
africa,GEOS-i33p2-met2010_AP3-CTRL,5.806800753963186,0.5450596237079629,0.9234070439917426,1.7131451682409415,2.9177167429632442,1.1229866036249951,1.3071015836083173e-10,0.017941841927370084
africa,GFDL-AM4-met2010_AP3-CTRL,7.243238613146652,1.1651552779845218,0.8756040625768344,1.1127126851201354,,0.7865747801582734,9.096875600945505e-12,0.035833193282933606
africa,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,11.832587694734906,3.2181148268450017,0.8034558740442608,1.4869454032434664,3.4446471521864566,0.8140476386165111,9.362097589377806e-11,0.09451813238023438
africa,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,16.195704225312184,1.102060671132405,0.945316444019016,0.43079415116246567,2.9014432713593727,0.9423611405403867,1.2847742383776488e-10,0.03307265190043433
africa,INCA_AP3-CTRL,5.111823925624787,0.7889639914520027,0.9331773871388871,0.49130025383783804,2.7628262417112954,1.121638511886534,9.046061154968461e-11,0.015816794637620653
africa,MIROC-SPRINTARS_AP3-CTRL,10.954688042131158,0.4292598661394465,0.9693648318167909,0.8252336081182116,2.5015300626044,3.3492588242359242,1.9309356304606737e-10,0.016741582093930864
africa,NorESM2-met2010_AP3-CTRL,4.1011776128909325,0.605513158567893,0.9035812646294504,1.407357856236068,3.947449421162752,0.5751225020254733,1.6072958037911514e-10,0.032400828328607835
africa,SPRINTARS-T213_AP3-CTRL2016-PD,4.064658535467993,,,,2.9388908454044134,0.029839194728405696,1.816057269362625e-10,
africa,TM5-met2010_AP3-CTRL2019,4.841515977368486,0.9919827598765811,0.8705057107046728,1.4472604101932367,,1.069504251402035,9.408495667985195e-12,0.038813907372931264
africa,TM5_AP3-CTRL2016,4.550450113911056,0.9122016698463663,0.8656848623439268,1.574402748292793,3.4885845691604156,1.069504251402035,1.3416584019719543e-10,0.03703955785556334
amazon,CAM5-ATRAS_AP3-CTRL,4.259187914181361,0.45263351250273687,0.925877766715723,1.5702584646939228,1.3857650751909476,2.0452351822492005,4.983421540939898e-10,0.02534421374842818
amazon,CAM5.3-Oslo_AP3-CTRL2016-PD,3.835520742947863,0.339731906060267,0.9370069189016941,0.9354122902763177,3.7329007635818843,1.522214293267985,2.0623265208747833e-10,0.021593825568794387
amazon,CAM5_CTRL2016,9.529374304488972,2.1323918077512483,0.9082373433615287,,,1.5924121425304951,1.3348887744495407e-12,0.025425638196643837
amazon,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5.118912366229565,0.7437980896444536,0.901734492684812,1.1454441684150396,,0.9402319684152556,7.714963445408295e-12,0.04465540914881598
amazon,ECHAM6-HAM2_AP3-CTRL2016-PD,3.730898720507279,,,,1.7327547013195708,0.001743998568059555,4.764721982478463e-10,
amazon,ECHAM6-SALSA_CTRL2016-PD,4.155601376784496,,,,2.1288625462525492,1.7152161974549553,4.76472341221052e-10,
amazon,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,3.4718907124880367,0.7929354745821032,0.8683550195788252,1.387459762356345,1.6684551856404701,1.5461412237357737,2.606046183641449e-10,0.030112607157336806
amazon,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,4.406371873946489,1.1801039238913482,0.8513336755505001,1.2181571443678374,1.7458263615009126,0.6520908765184363,2.74145531096057e-10,0.04618695890565189
amazon,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5.579661607519323,,,,1.2595316626251427,2.540520111624233,4.832244075368211e-10,
amazon,GEOS-i33p2-met2010_AP3-CTRL,5.7935265176835005,0.4072826235464964,0.9453430632140349,1.7092681686306426,1.382475515723391,2.1181839992657685,3.56551087176553e-10,0.018184865060309058
amazon,GFDL-AM4-met2010_AP3-CTRL,7.161128962388279,0.8435783617197867,0.908443820508289,1.134681734262966,,1.288737373825953,8.451778279995772e-12,0.03564841650653798
amazon,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,9.892254791502754,2.343012718692826,0.8583213047162425,1.4131498382262369,1.8962785979709296,2.1400370077187656,1.9217104468969547e-10,0.08536414459062355
amazon,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,13.88011526280664,0.8894362055694858,0.9575069304443112,0.4159077600196742,1.4265001741993244,2.2124942775614658,2.9005057336273843e-10,0.03004326366917242
amazon,INCA_AP3-CTRL,5.283170994011213,0.7393976690448891,0.9402513100869294,0.4949502147492304,1.5246178000636215,2.1270423562093868,2.0852941622512033e-10,0.01730363806559402
amazon,MIROC-SPRINTARS_AP3-CTRL,8.979601526302423,0.34750151828258763,0.9712898131396716,0.8762195868672291,1.233994057959826,2.5070044926594743,5.265032392702714e-10,0.017807107573326604
amazon,NorESM2-met2010_AP3-CTRL,4.079601140604638,0.40627970327359886,0.9198425964013502,1.5915871787110087,2.7326792259768258,1.1690361970851502,3.8327098925343034e-10,0.037459776553640384
amazon,SPRINTARS-T213_AP3-CTRL2016-PD,4.137590359425336,,,,2.9825982064944574,0.19323366147071355,2.2487290906454533e-10,
amazon,TM5-met2010_AP3-CTRL2019,4.795215568864628,0.6923000638857811,0.9042797340000527,1.3463241596044435,,2.8960835669547755,7.714963445408295e-12,0.03443626177641567
amazon,TM5_AP3-CTRL2016,4.897692551620193,0.7966145198067396,0.8874955329362505,1.4552726803141223,1.7081185011900932,2.8960835669547755,3.73021088773432e-10,0.04851762433944362
west_russia,CAM5-ATRAS_AP3-CTRL,5.515605441963092,0.5742938159821979,0.944834383799585,1.6559578636517047,2.6708189516847747,1.0567614923398256,8.341334906890764e-11,0.008632982774173448
west_russia,CAM5.3-Oslo_AP3-CTRL2016-PD,5.782292873933624,0.8114888083023655,0.9641010269048745,0.45603508360429823,7.539091359470112,1.456086996462429,2.0072116974890628e-11,0.008284948912549373
west_russia,CAM5_CTRL2016,3.460981974637294,3.183238010342395,0.9080643069877883,,4.580683767377513,1.2470073595182094,9.242083267190979e-12,0.011101792834651118
west_russia,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5.082539540465991,0.9963801572830536,0.9378250002424298,1.2076832665097914,,1.44010620139072,2.3100454217761815e-12,0.012601571097952785
west_russia,ECHAM6-HAM2_AP3-CTRL2016-PD,5.344910876786189,,,,2.9699724744579177,0.0011932985911741359,1.6254214627067787e-10,
