model,SSA,MEC,MAC,1-SSA
GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,0.9519773766319456,12.114698455848135,1.0790418531415482,0.04802262336805441
GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,0.8095665149951201,7.931187951407527,3.2416641320409076,0.1904334850048799
GFDL-AM4-met2010_AP3-CTRL,0.8972575194353956,6.661359652643507,1.3287950841531049,0.10274248056460444
CAM5.3-Oslo_AP3-CTRL2016-PD,0.948525968064557,5.783584312324092,0.570037339692191,0.051474031935442977
ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.907440630471857,5.7435948037401925,1.156511735204027,0.09255936952814303
NorESM2-met2010_AP3-CTRL,0.9493706243676754,5.7063631546566596,0.5613554172172559,0.050629375632324614
ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.8631159381862437,5.696040301779222,1.6708904152735995,0.13688406181375634
GEOS-i33p2-met2010_AP3-CTRL,0.9565197229385376,5.62040376663208,0.5554478168487549,0.0434802770614624
EC-Earth3-AerChem-met2010_AP3-CTRL2019,0.8996651824762697,5.234893323195364,1.0494929358914837,0.1003348175237303
TM5-met2010_AP3-CTRL2019,0.9064102816772494,5.115180922507165,1.013338092134533,0.09358971832275065
CAM5-ATRAS_AP3-CTRL,0.9478416661435639,5.032349905259141,0.42211413633228195,0.05215833385643609
CAM5_CTRL2016,0.9104639884382124,4.895528281611604,1.663764331661745,0.08953601156178759
TM5_AP3-CTRL2016,0.9014205438142381,4.845148160287064,0.9770609008673526,0.09857945618576192
INCA_AP3-CTRL,0.949737548828125,4.2883806228637695,0.9674776792526245,0.050262451171875
MIROC-SPRINTARS_AP3-CTRL,0.9589669702366209,4.211968577498698,0.4860897972470992,0.04103302976337908
