region,model,MEC,AE,lifetime,inv_lifetime,precip,AOD
africa,CAM5-ATRAS_AP3-CTRL,4578.29524113639,1.6167111260030382,3.8417488158563504,0.26029812148900044,0.7229889387036927,0.36335202812620754
africa,CAM5.3-Oslo_AP3-CTRL2016-PD,4840.1592373155245,0.8286586081984919,16.360633697798885,0.061122326828607944,0.7905730606507901,0.33582758184081507
africa,CAM5_CTRL2016,5365.747079765912,,120.12847609903648,0.008324420923941287,0.34066604337102174,0.2122754657114618
africa,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5163.127294979694,1.3200795446798683,52.61417979006835,0.019006283172901685,0.47325940505870384,0.3274060085687135
africa,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,4502.344990703929,1.4990814911455477,10.82447230450807,0.09238325637209398,0.3770453369602601,0.20210741363535928
africa,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,5284.147562057726,1.333720766494451,10.72654744639803,0.09322664212293207,0.12243076932910707,0.260775627054622
africa,GFDL-AM4-met2010_AP3-CTRL,7243.238615646731,1.1127126851201354,40.20447177368208,0.024872855080130707,0.7865747801582734,0.2842425551056394
africa,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,11832.587697183451,1.4869454032434664,13.794892064572775,0.0724905998045567,0.8140476386165111,0.4348277463131507
africa,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,16195.704258103033,0.43079415116246567,5.665042820065576,0.1765211723480714,0.9423611405403867,0.6339205288285716
africa,INCA_AP3-CTRL,5111.823924488206,0.49130025383783804,19.20176023799794,0.05207855881988996,1.121638511886534,0.22598395368386612
africa,MIROC-SPRINTARS_AP3-CTRL,10954.688035736153,0.8252336081182116,6.2256056082643845,0.16062694345310233,3.3492588242359242,0.618313996473008
africa,NorESM2-met2010_AP3-CTRL,4101.177611511765,1.407357856236068,21.85702698855184,0.04575187652574043,0.5751225020254733,0.33724987490385405
africa,TM5-met2010_AP3-CTRL2019,4841.515967198219,1.4472604101932367,50.5902762979687,0.01976664436679805,1.069504251402035,0.2895128955266581
africa,TM5_AP3-CTRL2016,4550.450110536724,1.574402748292793,9.343289682971193,0.10702868410711602,1.069504251402035,0.2686201000680883
