model,SSA,MEC,MAC,1-SSA
GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,0.9575069304443112,13.88011526280664,0.8894362055694858,0.04249306955568877
GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,0.8583213047162425,9.892254791502754,2.343012718692826,0.14167869528375754
CAM5_CTRL2016,0.9082373433615287,9.529374304488972,2.1323918077512483,0.09176265663847127
MIROC-SPRINTARS_AP3-CTRL,0.9712898131396716,8.979601526302423,0.34750151828258763,0.028710186860328446
GFDL-AM4-met2010_AP3-CTRL,0.908443820508289,7.161128962388279,0.8435783617197867,0.09155617949171102
GEOS-i33p2-met2010_AP3-CTRL,0.9454386986773667,5.785452159135062,0.407523805155999,0.05456130132263326
INCA_AP3-CTRL,0.9402513100869294,5.283170994011213,0.7393976690448891,0.059748689913070585
EC-Earth3-AerChem-met2010_AP3-CTRL2019,0.901734492684812,5.118912366229565,0.7437980896444536,0.09826550731518802
TM5_AP3-CTRL2016,0.8874955329362505,4.897692551620193,0.7966145198067396,0.1125044670637495
TM5-met2010_AP3-CTRL2019,0.9042797340000527,4.795215568864628,0.6923000638857811,0.09572026599994732
ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.8513336755505001,4.406371873946489,1.1801039238913482,0.1486663244494999
CAM5-ATRAS_AP3-CTRL,0.925877766715723,4.259187914181361,0.45263351250273687,0.07412223328427703
NorESM2-met2010_AP3-CTRL,0.9198425964013502,4.079601140604638,0.40627970327359886,0.08015740359864976
CAM5.3-Oslo_AP3-CTRL2016-PD,0.9370069189016941,3.835520742947863,0.339731906060267,0.06299308109830593
ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.8683550195788252,3.4718907124880367,0.7929354745821032,0.13164498042117478
