region,model,MEC_model,MEC_c,tau_model,tau_c_days,E_model,E_c,AOD_model,AOD_c,dAOD_E,dAOD_tau,dAOD_MEC,dAOD_cross,dAOD_total,pct_E,pct_tau,pct_MEC,pct_cross,ensemble
africa,ECHAM6-HAM2_AP3-CTRL2016-PD,4392.054747464518,4867.755070231933,,9.126311384672269,3.0261857023150503e-10,1.3990888960478854e-10,0.4946157516931106,0.5370108403552286,0.624526880129662,,-0.05247926947861231,,-0.042395088662118,,,,,full
africa,ECHAM6-SALSA_CTRL2016-PD,4055.3445177912454,4867.755070231933,,9.126311384672269,3.026186391679796e-10,1.3990888960478854e-10,0.502029906563106,0.5370108403552286,0.6245271447278175,,-0.08962514900299662,,-0.03498093379212264,,,,,full
africa,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4800.35612447548,4867.755070231933,7.872071993059278,9.126311384672269,3.302139963393033e-10,1.3990888960478854e-10,0.38072515807769103,0.5370108403552286,0.7304461180420624,-0.07380201280748978,-0.007435453094398356,-0.8054943344177119,-0.15628568227753759,45.16795027612459,4.563629763276601,0.45977953383948605,49.808640426759325,full
africa,ETHZ-ECHAM6-HAM2_CTRL2015,4056.791029422094,4867.755070231933,12.89066638607991,9.126311384672269,1.1368450075020939e-10,1.3990888960478854e-10,0.17769316703592158,0.5370108403552286,-0.10065679983867046,0.2215023526478019,-0.08946556980986586,-0.3906976563185726,-0.35931767331930703,12.545680205560178,27.60764981156234,11.150825677368584,48.6958443055089,full
africa,GEOS-Chem-v11-01_AP3-CTRL2016-PD,6093.4266698372385,4867.755070231933,4.772991254494469,9.126311384672269,1.581514111375664e-10,1.3990888960478854e-10,0.2812615384890465,0.5370108403552286,0.0700200812556524,-0.2561582662375994,0.13521611630147637,-0.20482723318571147,-0.2557493018661821,10.510027153575004,38.44940316393212,20.295964078372897,30.74460560411998,full
africa,INCA_AP3-CTRL,5341.172510469473,4867.755070231933,6.961219743792608,9.126311384672269,9.964734239124552e-11,1.3990888960478854e-10,0.22598395368386612,0.5370108403552286,-0.15453547922666416,-0.12739842336166574,0.05222742183054609,-0.08132040591357867,-0.31102688667136247,37.19428989164217,30.662821987317173,12.570329335240674,19.57255878579999,full
africa,SPRINTARS-T213_AP3-CTRL2016-PD,4052.7673848182662,4867.755070231933,14.88590131319492,9.126311384672269,1.927816424061436e-10,1.3990888960478854e-10,0.21568839836197645,0.5370108403552286,0.20294093887782638,0.3389060593321549,-0.0899094583660519,-0.7732599818371815,-0.32132244199325216,14.444025943712235,24.121145494561308,6.399174835818509,55.03565372590794,full
africa,TM5_AP3-CTRL2016,4885.166879699091,4867.755070231933,12.459561449700729,9.126311384672269,1.507569677292485e-10,1.3990888960478854e-10,0.2686201000680883,0.5370108403552286,0.041638065789180764,0.1961352558648572,0.001920871181716607,-0.5080849331228949,-0.26839074028714033,5.568230556823975,26.229035962111496,0.2568768122878609,67.94585666877667,full
amazon,ECHAM6-HAM2_AP3-CTRL2016-PD,3803.923977093709,5015.460294411169,10.40305741166944,7.04005091998406,2.6124668424791753e-10,1.1773005162171683e-10,0.3860947470116084,0.3591597610044217,0.43782703535889234,0.1715692999295486,-0.0867587556541513,-0.495702593627103,0.02693498600718669,36.73484183784611,14.39511630883107,7.27928818829359,41.590753665029226,full
amazon,ECHAM6-SALSA_CTRL2016-PD,4221.9865432379775,5015.460294411169,12.165857880501187,7.04005091998406,2.612549852803061e-10,1.1773005162171683e-10,0.4719516102498206,0.3591597610044217,0.4378523593672292,0.2615014612562349,-0.05682107445895025,-0.5297408969191151,0.11279184924539887,34.04984697214983,20.335815368532614,4.4187243684524775,41.19561329086508,full
amazon,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5591.538776527298,5015.460294411169,4.525956893188158,7.04005091998406,2.425219721669222e-10,1.1773005162171683e-10,0.3141654422415659,0.3591597610044217,0.38070344606925377,-0.12826063618993042,0.04125328440685224,-0.33869041304903136,-0.04499431876285581,42.828227489614854,14.429014923352716,4.640895866619105,38.10186172041332,full
amazon,ETHZ-ECHAM6-HAM2_CTRL2015,2995.5419283512824,5015.460294411169,9.32079163155319,7.04005091998406,4.3699227431964406e-11,1.1773005162171683e-10,0.10676915414245736,0.3591597610044217,-0.2258462708262941,0.11635573352956347,-0.14464742117705945,0.0017473516118257093,-0.25239060686196435,46.22344669281129,23.814265458221403,29.604661336971706,0.35762651199561046,full
amazon,GEOS-Chem-v11-01_AP3-CTRL2016-PD,5571.563495696798,5015.460294411169,5.462636538612094,7.04005091998406,1.6196962173488863e-10,1.1773005162171683e-10,0.32844521004585553,0.3591597610044217,0.13496191677413819,-0.08047438557728157,0.039822843995017426,-0.12502492615044022,-0.030714550958566178,35.48976318887149,21.161650302338746,10.4718674472869,32.876719061502854,full
amazon,INCA_AP3-CTRL,5395.389308264308,5015.460294411169,8.855427064207325,7.04005091998406,1.0823836321386886e-10,1.1773005162171683e-10,0.26088393751779987,0.3591597610044217,-0.02895634965866503,0.09261439576261365,0.02720691737230854,-0.189140786962879,-0.09827582348662184,8.569034830602924,27.407321449704725,8.051326404911077,55.97231731478127,full
amazon,SPRINTARS-T213_AP3-CTRL2016-PD,4392.27246079282,5015.460294411169,5.289536081068983,7.04005091998406,2.687628364495081e-10,1.1773005162171683e-10,0.28577553246284915,0.3591597610044217,0.46075660509245536,-0.08930538973727432,-0.04462680995254638,-0.40020863394420725,-0.07338422854157256,46.31197017475952,8.976341305249466,4.485568885338658,40.22611963465235,full
amazon,TM5_AP3-CTRL2016,5410.529384665469,5015.460294411169,8.606075917730422,7.04005091998406,2.0056428129491593e-10,1.1773005162171683e-10,0.37785390384324646,0.3591597610044217,0.25270287171880984,0.07989333746449762,0.028291106240853434,-0.34219317258533616,0.018694142838824757,35.942239335106734,11.363327361094173,4.023878734133109,48.67055456966598,full
se_asia,ECHAM6-HAM2_AP3-CTRL2016-PD,3745.111869193686,4634.553727509894,4.975981096216405,2.6977281526789265,9.738808718973928e-11,2.5099875957740735e-10,0.19155386245600708,0.27113864605665977,-0.1659362372992157,0.22897874934949777,-0.05203565982598942,-0.09059163582494534,-0.07958478360065269,30.86942976640412,42.597346644046056,9.680291493234124,16.852932096315694,full
se_asia,ECHAM6-SALSA_CTRL2016-PD,4797.65445188508,4634.553727509894,5.684245051787727,2.6977281526789265,9.523336066663741e-11,2.5099875957740735e-10,0.2051184593544986,0.27113864605665977,-0.16826385689813264,0.30016373134023067,0.009541999549050184,-0.20746206069330939,-0.06602018670216117,24.548597554707882,43.79192761314005,1.3921154020536222,30.267359430098463,full
se_asia,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5672.383271711913,4634.553727509894,2.6795988554334773,2.6977281526789265,1.3294503960389187e-10,2.5099875957740735e-10,0.1729383284796145,0.27113864605665977,-0.12752623100394078,-0.0018221083930226754,0.06071689185136003,-0.029568870031441846,-0.09820031757704528,58.06303768898825,0.8296108766378275,27.644564982201974,13.46278645217194,full
se_asia,ETHZ-ECHAM6-HAM2_CTRL2015,4674.8650845582315,4634.553727509894,2.7952814410815865,2.6977281526789265,7.507845386744053e-11,2.5099875957740735e-10,0.15221193302910946,0.27113864605665977,-0.19003597302385827,0.009804719022413713,0.0023583644539310095,0.058946176519963256,-0.11892671302755031,72.77022476193669,3.754508136725808,0.9030853930038583,22.572181708333652,full
se_asia,GEOS-Chem-v11-01_AP3-CTRL2016-PD,7260.525189836088,4634.553727509894,1.4049574284449728,2.6977281526789265,5.4469951877536374e-11,2.5099875957740735e-10,0.10395102267480198,0.27113864605665977,-0.21229808035939413,-0.12993158835607826,0.15362910621841125,0.021412939115203367,-0.16718762338185778,41.041888545880916,25.11863394559175,29.699885388249253,4.139592120278079,full
se_asia,INCA_AP3-CTRL,6045.097298800617,4634.553727509894,2.4820070945742985,2.6977281526789265,6.328760441539231e-11,2.5099875957740735e-10,0.1548793618777954,0.27113864605665977,-0.20277290830460948,-0.021681323065230355,0.08252204993406793,0.02567289725690755,-0.11625928417886436,60.956984527030265,6.517774418993957,24.807531553540617,7.717709500435157,full
se_asia,SPRINTARS-T213_AP3-CTRL2016-PD,6162.745200586627,4634.553727509894,2.4841767862929287,2.6977281526789265,4.549750586952052e-11,2.5099875957740735e-10,0.2061480122747367,0.27113864605665977,-0.22199046635574657,-0.02146325540175375,0.08940489015497625,0.08905819782060101,-0.06499063378192307,52.61474803437842,5.0870823125848705,21.190170216621038,21.107999436415675,full
se_asia,TM5_AP3-CTRL2016,4486.911402052934,4634.553727509894,2.5568704611200777,2.6977281526789265,8.85713348295579e-11,2.5099875957740735e-10,0.13061804052001286,0.27113864605665977,-0.17546043694698008,-0.01415708389223988,-0.008637625665538553,0.05773454096811159,-0.14052060553664691,68.54199428075611,5.530333675547088,3.374208449882955,22.55346359381384,full
boreal_na,ECHAM6-HAM2_AP3-CTRL2016-PD,4408.325715245926,5770.311403355254,3.7245581718224,4.776247619227659,4.721140575810053e-10,2.0470378702974487e-10,0.2620878651518999,0.487445095500638,0.6367631334918595,-0.10733129937898114,-0.11505327830746194,-0.6397357861541546,-0.2253572303487381,42.482496780109884,7.160749956217225,7.675932019547931,42.680821244124964,full
boreal_na,ECHAM6-SALSA_CTRL2016-PD,4393.552105915524,5770.311403355254,3.086495985603428,4.776247619227659,4.72114525102033e-10,2.0470378702974487e-10,0.30967818784427503,0.487445095500638,0.636764246763066,-0.1724494230802699,-0.11630127393673761,-0.5257804574024214,-0.177766907656363,43.875578069374406,11.88244811771336,8.013618305548063,36.22835550736418,full
boreal_na,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5079.266230196263,5770.311403355254,4.914559104989495,4.776247619227659,2.573993446470226e-10,2.0470378702974487e-10,0.19265661650410637,0.487445095500638,0.12547980419864402,0.014115527661213524,-0.05837580623982853,-0.3760080046165607,-0.29478847899653166,21.86138743732652,2.4592405212521284,10.170370645103265,65.50900139631808,full
boreal_na,ETHZ-ECHAM6-HAM2_CTRL2015,5585.255528795254,5770.311403355254,2.8109867263574753,4.776247619227659,3.005123345248336e-11,2.0470378702974487e-10,0.034056882330218356,0.487445095500638,-0.41588644691525933,-0.2005668172965626,-0.01563253213603034,0.17869758317743256,-0.45338821317041966,51.2943971740962,24.737411047324976,1.9280775273394501,22.04011425123938,full
boreal_na,GEOS-Chem-v11-01_AP3-CTRL2016-PD,6835.691601245332,5770.311403355254,2.9125371539180236,4.776247619227659,1.6257115564024117e-10,2.0470378702974487e-10,0.17747359165895607,0.487445095500638,-0.10032713526870704,-0.1902029790271417,0.08999763028439903,-0.10943901983023221,-0.30997150384168193,20.476314427044663,38.81956753862496,18.368109190565757,22.33600884376463,full
boreal_na,INCA_AP3-CTRL,5769.533998054711,5770.311403355254,4.909041678758099,4.776247619227659,1.2612332355517647e-10,2.0470378702974487e-10,0.12542445283801384,0.487445095500638,-0.18711750319147544,0.013552440784089776,-6.56710486621607e-05,-0.18838990920657636,-0.3620206426626242,48.08666909253931,3.482794096038624,0.016876571844515898,48.41366023957756,full
boreal_na,SPRINTARS-T213_AP3-CTRL2016-PD,10001.887392833576,5770.311403355254,4.288803313734603,4.776247619227659,1.8262716576945005e-10,2.0470378702974487e-10,0.23226799816946045,0.487445095500638,-0.052569329149695476,-0.04974665364622073,0.35746094415460755,-0.5103220586898689,-0.25517709733117755,5.4189654795889535,5.127997697408312,36.847883509396354,52.60515331360638,full
boreal_na,TM5_AP3-CTRL2016,5447.510248116997,5770.311403355254,5.859539494725248,4.776247619227659,2.6830631834017377e-10,2.0470378702974487e-10,0.23768387123156856,0.487445095500638,0.15145172641182952,0.11055651921840161,-0.02726851792631773,-0.4845009519729828,-0.24976122426906947,19.573027676066392,14.287891341345066,3.5240764083851435,62.615004574203404,full
eastern_siberia,ECHAM6-HAM2_AP3-CTRL2016-PD,4018.572794651245,5570.976910909602,5.448807759012521,3.58488026820937,2.625445069029988e-10,1.3252686289072012e-10,0.10459946486847589,0.22867762542846665,0.2243479204744196,0.11889895357107945,-0.0637231301957372,-0.40360190440975263,-0.12407816055999075,27.67773199145222,14.668526296323236,7.861502417692927,49.79223929453162,full
eastern_siberia,ECHAM6-SALSA_CTRL2016-PD,3767.608310784718,5570.976910909602,6.04849422389231,3.58488026820937,2.617361938887494e-10,1.3252686289072012e-10,0.12415117677195096,0.22867762542846665,0.22295316097683837,0.15715263752432343,-0.07402472777103711,-0.41060751938664036,-0.10452644865651568,25.782739882454415,18.17343857058928,8.560364395050767,47.48345715190555,full
eastern_siberia,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4475.869445111011,5570.976910909602,2.513897829860579,3.58488026820937,1.8628995958381401e-10,1.3252686289072012e-10,0.11545432353591402,0.22867762542846665,0.09276924707404846,-0.06831740603697259,-0.0449520037279995,-0.092723139201629,-0.11322330189255263,31.05124159229056,22.866848085113705,15.046101718401546,31.035808604194187,full
eastern_siberia,ETHZ-ECHAM6-HAM2_CTRL2015,3141.4208660813874,5570.976910909602,2.315836809963637,3.58488026820937,2.2123464986370138e-11,1.3252686289072012e-10,0.019359596495537142,0.22867762542846665,-0.19050316533048148,-0.08095161424794756,-0.09972848856879937,0.16186523921429885,-0.2093180289329295,35.73842956121015,15.186538022335009,18.70908316814045,30.36594924831441,full
eastern_siberia,GEOS-Chem-v11-01_AP3-CTRL2016-PD,7016.6419182941245,5570.976910909602,2.1758439577250157,3.58488026820937,7.208958844586232e-11,1.3252686289072012e-10,0.1293885079510705,0.22867762542846665,-0.10428566787108631,-0.0898816846078362,0.05934170008967815,0.035536534911848244,-0.09928911747739613,36.079314955167824,31.096023776497123,20.530221757386983,12.294439510948056,full
eastern_siberia,INCA_AP3-CTRL,4358.095469393074,5570.976910909602,2.3149269919883833,3.58488026820937,4.643261890402452e-11,1.3252686289072012e-10,0.12165314180405326,0.22867762542846665,-0.14855725736276512,-0.08100965105771166,-0.04978639337547882,0.1723288181715422,-0.10702448362441339,32.889780399865074,17.93510247063598,11.022440600274672,38.15267652922428,full
