region,model,MAC_model,MAC_c,tau_model,tau_c,E_model,E_c,AAOD_model,AAOD_c,dAAOD_E,dAAOD_tau,dAAOD_MAC,dAAOD_cross,dAAOD_total,pct_E,pct_tau,pct_MAC,pct_cross,lifetime_filtered,lifetime_raw
africa,CAM5-ATRAS_AP3-CTRL,0.5226747112600848,0.8809927589161803,2.739870541175206,3.049419468193626,2.558591590151661e-10,3.157871973205151e-10,0.03165747273007813,0.07329895258195875,-0.013910197992020422,-0.007440633327090273,-0.02981220596718098,0.009521557434411056,-0.04164147985188062,22.92212390317722,12.26115682461974,49.12648111829683,15.690238153906213,False,
africa,CAM5.3-Oslo_AP3-CTRL2016-PD,0.5657118234155833,0.8809927589161803,3.9756565549304907,3.049419468193626,1.6045840079096258e-10,3.157871973205151e-10,0.031180302018524418,0.07329895258195875,-0.036054147185316354,0.022263978114035632,-0.026231500891884824,-0.0020969806002687844,-0.04211865056343433,41.61057024664805,25.695152918807988,30.274123665344078,2.4201531691998834,False,
africa,CAM5_CTRL2016,1.5978919699078178,0.8809927589161803,3.049419468193626,3.049419468193626,4.632690199318702e-12,3.157871973205151e-10,0.035842997452338515,0.07329895258195875,-0.07222363558960421,0.0,0.05964630326492753,-0.024878622804943552,-0.03745595512962023,46.07610738177282,0.0,38.052217279355155,15.871675338872027,True,59.756672020179785
africa,EC-Earth3-AerChem-met2010_AP3-CTRL2019,1.050695210646053,0.8809927589161803,3.049419468193626,3.049419468193626,9.408495667985195e-12,3.157871973205151e-10,0.04426578503770183,0.07329895258195875,-0.07111509939320754,0.0,0.014119312374023219,0.027962619474927404,-0.029033167544256916,62.82417357843394,0.0,12.473217909591908,24.702608511974155,True,52.007826090102824
africa,ECHAM6-SALSA_CTRL2016-PD,1.038843030327695,0.8809927589161803,4.36582012689608,3.049419468193626,2.7698678628076887e-10,3.157871973205151e-10,0.10853968653904668,0.07329895258195875,-0.009006158302473116,0.03164234716394997,0.013133206195106483,-0.0005286610994954047,0.03524073395708793,16.5827591390355,58.26206957404209,24.181764048821503,0.9734072381009146,False,
africa,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,1.027968223280059,0.8809927589161803,3.518948842476991,3.049419468193626,1.0263720420298561e-10,3.157871973205151e-10,0.03207828925025256,0.07329895258195875,-0.049475315563566186,0.011286086319183899,0.012228417866195312,-0.015259851953519216,-0.04122066333170619,56.06288908402188,12.788813942827057,13.856615702122548,17.291681271028505,False,
africa,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,1.3726600185562083,0.8809927589161803,3.598918294914155,3.049419468193626,1.0454736952703392e-10,3.157871973205151e-10,0.044623314354938576,0.07329895258195875,-0.04903193749536348,0.013208313537622028,0.040906914143984265,-0.03375892841326299,-0.02867563822702017,35.81428423640418,9.64771778322389,29.879542298840867,24.658455681531066,False,
africa,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,0.8967678757233772,0.8809927589161803,2.6094812139854815,3.049419468193626,3.287367550163523e-10,3.157871973205151e-10,0.06646549193484488,0.07329895258195875,0.003005786882934033,-0.010574804014514457,0.0013124960757317631,-0.0005769395912652003,-0.006833460647113862,19.429746099093272,68.35672822190482,8.48412296038492,3.729402718616996,False,
africa,ECMWF-IFS-CY45R1-CAMS-CTRL-met2010_AP3-CTRL,0.6069331912575894,0.8809927589161803,3.0346146414953536,3.049419468193626,2.1900121893101338e-10,3.157871973205151e-10,0.03485015482008978,0.07329895258195875,-0.022465479603880362,-0.000355863895229738,-0.022801866475216308,0.0071744122124574455,-0.038448797761868964,42.550173044542625,0.6740150038779905,43.18729808427623,13.588513867303146,False,
africa,ECMWF-IFS-CY46R1-CAMS-CTRL-met2010_AP3-CTRL,0.5758682529651621,0.8809927589161803,3.115121229964674,3.049419468193626,2.4106006963827546e-10,3.157871973205151e-10,0.03736260166092175,0.07329895258195875,-0.01734528896371639,0.0015792744720226949,-0.02538648186031818,0.005216145430974879,-0.035936350921036996,35.02175009140839,3.1887019005919925,51.25766571384016,10.53188229415945,False,
africa,GEOS-Chem-v11-01_AP3-CTRL2016-PD,0.37886454552336885,0.8809927589161803,3.1503170059159635,3.049419468193626,1.518116218216409e-10,3.157871973205151e-10,0.01565514107232348,0.07329895258195875,-0.03806119448500691,0.0024252759944262342,-0.04177726971198082,0.01976937669292622,-0.05764381150963527,37.30278525956552,2.376949826177916,40.94481378956355,19.375451124693008,False,
africa,GEOS-i33p2-met2010_AP3-CTRL,0.5450596237079629,0.8809927589161803,2.9177167429632442,3.049419468193626,1.3071015836083173e-10,3.157871973205151e-10,0.017960160892803563,0.07329895258195875,-0.042959161162401734,-0.003165740860602233,-0.027949772230396516,0.018735882564245306,-0.05533879168915518,46.28693398188301,3.410970658027924,30.114863210348187,20.187232149740865,False,
africa,GFDL-AM4-met2010_AP3-CTRL,1.1651552779845218,0.8809927589161803,3.049419468193626,3.049419468193626,9.096875600945505e-12,3.157871973205151e-10,0.035833193282933606,0.07329895258195875,-0.07118743109224836,0.0,0.02364243610399755,0.010079235689225668,-0.03746575929902514,67.856295721033,0.0,22.53611503074982,9.607589248217183,True,39.373313755097655
africa,GISS-ModelE2p1p1-OMA_AP3-CTRL,1.102060671132405,0.8809927589161803,2.9014432713593727,3.049419468193626,1.2847742383776488e-10,3.157871973205151e-10,0.03549442540865588,0.07329895258195875,-0.043477412387666795,-0.003556906600795602,0.01839293938677124,-0.00916314757161171,-0.03780452717330286,58.288209905506726,4.7685845862406575,24.658585984742363,12.284619523510242,False,
africa,HadGEM3-GA7.1_AP3-CTRL2016-PD,1.5928374510124739,0.8809927589161803,3.0661226973906675,3.049419468193626,1.9012794427578917e-10,3.157871973205151e-10,0.08022702416970287,0.07329895258195875,-0.029167400415733548,0.0004014958314687956,0.05922576525586351,-0.023531789083854632,0.006928071587744125,25.96663587545947,0.3574365871715229,52.726463754886844,20.949463782482166,False,
africa,INCA_AP3-CTRL,0.7889639914520027,0.8809927589161803,2.7628262417112954,3.049419468193626,9.046061154968461e-11,3.157871973205151e-10,0.017036642750879124,0.07329895258195875,-0.052301685647842426,-0.006888846725531907,-0.007656830540618166,0.010585053082912882,-0.05626230983107962,67.54494868135417,8.896592772989575,9.888404542258082,13.67005400339816,False,
africa,MIROC-SPRINTARS_AP3-CTRL,0.4292598661394465,0.8809927589161803,2.5015300626044,3.049419468193626,1.9309356304606737e-10,3.157871973205151e-10,0.017914617966068837,0.07329895258195875,-0.02847903574654096,-0.013169627851897825,-0.03758435872740604,0.02384868770995493,-0.05538433461588991,27.627632231411692,12.77591131086599,36.46074431085125,23.135712146871057,False,
africa,NorESM2-met2010_AP3-CTRL,0.605513158567893,0.8809927589161803,3.947449421162752,3.049419468193626,1.6072958037911514e-10,3.157871973205151e-10,0.03319324510030808,0.07329895258195875,-0.0359912023289642,0.021585962714029284,-0.0229200137672723,-0.002780454099443448,-0.04010570748165067,43.21833014632676,25.920480637859967,27.522412641246053,3.3387765745672127,False,
africa,OsloCTM3v1.01-met2010_AP3-CTRL,1.2707603801200413,0.8809927589161803,4.3838960394118915,3.049419468193626,1.4404127085293664e-10,3.157871973205151e-10,0.06933054265283399,0.07329895258195875,-0.03986480967914078,0.03207683820993158,0.03242882316053501,-0.02860926162045057,-0.003968409929124755,29.97810935449176,24.121599258677172,24.386289932613746,21.51400145421732,False,
africa,SPRINTARS-T213_AP3-CTRL2016-PD,0.3630602630227151,0.8809927589161803,2.9388908454044134,3.049419468193626,1.816057269362625e-10,3.157871973205151e-10,0.016741927478737692,0.07329895258195875,-0.031145535089854258,-0.002656778565651001,-0.043092192385161966,0.020337480937446167,-0.056557025103221054,32.03219028822791,2.732412088060109,44.31894659816207,20.916451025549925,False,
africa,TM5-met2010_AP3-CTRL2019,0.9919827598765811,0.8809927589161803,3.049419468193626,3.049419468193626,9.408495667985195e-12,3.157871973205151e-10,0.038813907372931264,0.07329895258195875,-0.07111509939320754,0.0,0.009234412808882122,0.02739564137529793,-0.03448504520902748,66.00306095636066,0.0,8.570606196453687,25.426332847185655,True,47.643623298381094
africa,TM5_AP3-CTRL2016,0.9122016698463663,0.8809927589161803,3.4885845691604156,3.049419468193626,1.3416584019719543e-10,3.157871973205151e-10,0.036888909385697596,0.07329895258195875,-0.042157045493333406,0.010556219715644539,0.002596593966584373,-0.007405811385156651,-0.03641004319626115,67.2193171442192,16.831869325903803,4.140263419603316,11.80855011027367,False,
amazon,CAM5-ATRAS_AP3-CTRL,0.45263351250273687,0.5467399093236098,1.3857650751909476,1.6009753057207563,4.983421540939898e-10,3.802110818661763e-10,0.02700708335894938,0.028754374385172737,0.008933945482830519,-0.003865291062304998,-0.004949283050462983,-0.0018666623962858963,-0.0017472910262233583,45.546074905279276,19.705608971174605,25.231899721912875,9.516416401633238,False,
amazon,CAM5.3-Oslo_AP3-CTRL2016-PD,0.339731906060267,0.5467399093236098,3.7329007635818843,1.6009753057207563,2.0623265208747833e-10,3.802110818661763e-10,0.022597164627289116,0.028754374385172737,-0.013157535756840347,0.03829052363116966,-0.010887051640194174,-0.02040314599201876,-0.006157209757883621,15.902602049768072,46.279103537086435,13.158425173898882,24.659869239246618,False,
amazon,CAM5_CTRL2016,2.1323918077512483,0.5467399093236098,1.6009753057207563,1.6009753057207563,1.3348887744495407e-12,3.802110818661763e-10,0.025425638196643837,0.028754374385172737,-0.028653420222041332,0.0,0.08339326900125985,-0.058068584967747416,-0.0033287361885288996,16.843531751218293,0.0,49.02162336558016,34.13484488320154,True,130.23830136991617
