model,SSA,MEC,MAC,1-SSA
GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,0.984206757613341,18.24222795829674,1.625703304747342,0.015793242386659023
GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,0.9586138056382466,9.151477020742927,4.853971724874431,0.04138619436175339
GFDL-AM4-met2010_AP3-CTRL,0.9527611664201365,6.7517829845567325,1.917497738909845,0.04723883357986347
ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.9699797995287739,6.40932105220583,1.7798209554492062,0.03002020047122611
GEOS-i33p2-met2010_AP3-CTRL,0.9799456790247789,6.025867732012331,0.8224586679863419,0.020054320975221085
ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.9366570897683254,5.888362945554985,2.6054611359072344,0.0633429102316746
CAM5.3-Oslo_AP3-CTRL2016-PD,0.9752027646952312,4.986540653934033,1.0768372961415533,0.02479723530476885
MIROC-SPRINTARS_AP3-CTRL,0.9842920563179431,4.911678668043971,1.2449367244795784,0.015707943682056857
CAM5-ATRAS_AP3-CTRL,0.9727404769522253,4.49010804742329,1.2578188823292729,0.02725952304777468
EC-Earth3-AerChem-met2010_AP3-CTRL2019,0.9588141959551976,4.069443449712886,1.050271566189479,0.04118580404480243
INCA_AP3-CTRL,0.9787152042804648,4.047757784590147,2.3604112473292354,0.021284795719535232
NorESM2-met2010_AP3-CTRL,0.9701572911182165,3.9633147793444334,0.6275982557138862,0.02984270888178353
TM5-met2010_AP3-CTRL2019,0.9604746198958697,3.8151329573620973,1.0710997011019059,0.039525380104130314
CAM5_CTRL2016,0.9621222223281213,3.5706535772686983,5.831149842306395,0.03787777767187872
TM5_AP3-CTRL2016,0.9602542719438523,3.5242114120470696,1.1928719199742657,0.03974572805614773
