region,model,MEC_model,MEC_c,tau_model,tau_c_days,E_model,E_c,AOD_model,AOD_c,dAOD_E,dAOD_tau,dAOD_MEC,dAOD_cross,dAOD_total,pct_E,pct_tau,pct_MEC,pct_cross
africa,CAM5-ATRAS_AP3-CTRL,4578.29524113639,6423.969681110986,3.8417488158563504,10.306160921133847,2.7228181081821585e-10,9.524729201621664e-11,0.36335202812620754,0.54483724,1.0126796881096118,-0.3417424250766675,-0.1565375011240902,-0.6958849677976022,-0.1814852,45.888128974732915,15.48556830178934,7.0932725572620985,31.533030166215642
africa,CAM5.3-Oslo_AP3-CTRL2016-PD,4840.1592373155245,6423.969681110986,16.360633697798885,10.306160921133847,1.711061002656562e-10,9.524729201621664e-11,0.33582758184081507,0.54483724,0.4339304831524291,0.3200709013537367,-0.1343279853457744,-0.8286830465297762,-0.20900965,25.272413816718736,18.641152405189153,7.823355501927328,48.263078276164784
africa,CAM5_CTRL2016,5365.747079765912,6423.969681110986,120.12847609903648,10.306160921133847,5.11707931486024e-12,9.524729201621664e-11,0.2122754657114618,0.54483724,-0.5155663217846521,5.805778422726266,-0.08975121400601523,-5.533022677878744,-0.3325618,4.316486946250161,48.60784290131808,0.751426009220376,46.32424414321139
africa,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5163.127294979694,6423.969681110986,52.61417979006835,10.306160921133847,3.0047507567963125e-11,9.524729201621664e-11,0.3274060085687135,0.54483724,-0.3729583237589802,2.236621789111391,-0.10693604037722078,-1.974158642407212,-0.21743122,7.951059069464149,47.68230343282976,2.279758137918253,42.08687935978784
africa,ECHAM6-HAM2_AP3-CTRL2016-PD,4400.9837199101385,6423.969681110986,12.995012889855959,10.306160921133847,3.0261857023150503e-10,9.524729201621664e-11,0.4946157516931106,0.54483724,1.1862131903260118,0.1421466913770995,-0.17157585342074474,-1.2070055012609584,-0.050221473,43.821165172769994,5.2511923593487335,6.338366386183117,44.58927608169815
africa,ECHAM6-SALSA_CTRL2016-PD,3967.496780897258,6423.969681110986,14.079946103378417,10.306160921133847,3.026186391679796e-10,9.524729201621664e-11,0.502029906563106,0.54483724,1.1862135846590944,0.1995019003887117,-0.20834125512611876,-1.2201815705436356,-0.04280734,42.15043126026664,7.089019420599235,7.4031134581846025,43.35743586094952
africa,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,4502.344990703929,6423.969681110986,10.82447230450807,10.306160921133847,1.2446332365005207e-10,9.524729201621664e-11,0.20210741363535928,0.54483724,0.1671226719114787,0.027400633841790933,-0.16297908267008046,-0.3742740299832136,-0.3427298,22.837941713862108,3.7443996762639,22.27170465877623,51.145953951097766
africa,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,5284.147562057726,6423.969681110986,10.72654744639803,10.306160921133847,1.2637348946931704e-10,9.524729201621664e-11,0.260775627054622,0.54483724,0.1780492761645982,0.022223816841140054,-0.0966719278211484,-0.3876627758832898,-0.2840616,26.007485894872744,3.2462114728950913,14.120775177509953,56.62552745472221
africa,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4746.78625804699,6423.969681110986,8.145430780533907,10.306160921133847,3.302139963393033e-10,9.524729201621664e-11,0.38072515807769103,0.54483724,1.344065611950926,-0.11422742643248834,-0.14224724376461506,-1.2517030328182757,-0.16411209,47.12310499242257,4.004827562680703,4.98720579055141,43.884861654345315
africa,GFDL-AM4-met2010_AP3-CTRL,7243.238615646731,6423.969681110986,40.20447177368208,10.306160921133847,2.670754405095688e-11,9.524729201621664e-11,0.2842425551056394,0.54483724,-0.3920637119939281,1.5805801192817484,0.06948479590072588,-1.5185958989950494,-0.2605947,11.010784718453952,44.389283912990976,1.951422958726803,42.648508409828274
africa,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,11832.587697183451,6423.969681110986,13.794892064572775,10.306160921133847,1.1074241607929376e-10,9.524729201621664e-11,0.4348277463131507,0.54483724,0.08863580678843003,0.18443246222281728,0.45872204243256004,-0.8417998028874414,-0.11000949,5.6327124821891035,11.720489379230639,29.151304285329076,53.495493853251176
africa,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,16195.704258103033,6423.969681110986,5.665042820065576,10.306160921133847,1.4559976033464448e-10,9.524729201621664e-11,0.6339205288285716,0.54483724,0.28802813291618246,-0.24535362676389957,0.8287717916011547,-0.782362983811482,0.089083314,13.430912198759495,11.440976217667243,38.64609006455259,36.482021519020655
africa,INCA_AP3-CTRL,5111.823924488206,6423.969681110986,19.20176023799794,10.306160921133847,9.964734239124552e-11,9.524729201621664e-11,0.22598395368386612,0.54483724,0.025169338000316097,0.4702676180829572,-0.11128724189036057,-0.703003003081844,-0.3188533,1.921723697884012,35.90576859852798,8.4969787449384,53.67552895864961
