region,test,n_drop,dMEC_c,dTau_c,dE_c,ensemble
amazon,drop_precip_high,2,-171.2297557592865,-0.26101397426698814,8.854622356516336e-12,full
amazon,drop_precip_low,2,352.865287427363,-4.6633350741634265,2.0807500646502697e-10,full
amazon,drop_AE_high,2,214.29982527895208,-1.8452776728059268,3.528197493807006e-11,full
amazon,drop_AE_low,2,978.1316410284762,-3.4533902183600977,7.564322924654638e-11,full
se_asia,drop_precip_high,2,21.565535429281226,-0.1268239108797169,1.1161998281948305e-11,full
se_asia,drop_precip_low,2,58.61758963492866,-0.384204481220523,3.80275151883082e-11,full
se_asia,drop_AE_high,2,238.9493906491207,0.17028067987054873,-2.6478286922027288e-11,full
se_asia,drop_AE_low,2,-234.35655042348117,-0.3658247406832298,5.4841733101700745e-11,full
boreal_na,drop_precip_high,2,267.15061258664355,0.7510870104178693,-3.5643425579832955e-11,full
boreal_na,drop_precip_low,2,-429.84743271456864,6.212665912735458,-1.0856952052652668e-10,full
boreal_na,drop_AE_high,2,-228.70448200988903,0.7317100292802978,-1.9868173564256114e-11,full
boreal_na,drop_AE_low,2,-263.82617087162544,7.678871493866534,-1.224436178272613e-10,full
eastern_siberia,drop_precip_high,2,647.6717821077209,1.9548699260002258,-5.569812003822643e-11,full
eastern_siberia,drop_precip_low,2,-590.9468493569229,0.21685945296856568,7.269408007255471e-12,full
eastern_siberia,drop_AE_high,2,-17.841922472262922,-0.16183064205905495,6.711370776408497e-12,full
eastern_siberia,drop_AE_low,2,146.2209399145422,0.9591667586961425,-3.0648046133488974e-11,full
amazon,drop_precip_high,2,-170.81523323059628,-0.26056633300530496,8.808314149457335e-12,paper
amazon,drop_precip_low,2,352.9426534065824,-4.659053186945786,2.069691268218848e-10,paper
amazon,drop_AE_high,2,213.59566137414276,-1.83936277256635,3.5028819900713483e-11,paper
amazon,drop_AE_low,2,984.1636832324621,-3.462127022665989,7.572145572454592e-11,paper
se_asia,drop_precip_high,2,29.515374949081888,-0.1705842739659742,1.4323926532983501e-11,paper
se_asia,drop_precip_low,2,50.70983537818756,-0.33002126970195,2.996331256624211e-11,paper
se_asia,drop_AE_high,2,220.7821633108988,0.1619688400942194,-2.3110218776773436e-11,paper
se_asia,drop_AE_low,2,-164.32005068564467,-0.32479454322159595,4.174587630587439e-11,paper
boreal_na,drop_precip_high,2,252.90008333318383,0.7591098782087213,-3.3801502281483646e-11,paper
boreal_na,drop_precip_low,2,-410.6612429390243,6.20677479405643,-1.0354410624731004e-10,paper
boreal_na,drop_AE_high,2,-232.6540332318982,0.7449663719666413,-1.9169293656195733e-11,paper
boreal_na,drop_AE_low,2,-251.68416400924798,6.810843634020871,-1.1080172375470322e-10,paper
eastern_siberia,drop_precip_high,2,627.9521259023968,1.8913618225000932,-6.016543836651442e-11,paper
eastern_siberia,drop_precip_low,2,-572.6046429808384,0.2312523571650238,7.006412075292778e-12,paper
eastern_siberia,drop_AE_high,2,-16.66212961907968,-0.1683449086737725,7.636519853912685e-12,paper
eastern_siberia,drop_AE_low,2,143.16172154556898,0.9291533000624228,-3.294132578113457e-11,paper
