model,SSA,MEC,MAC,AE,lifetime,lifetime_BC_OA,1-SSA,precip,region
CAM5-ATRAS_AP3-CTRL,0.9727404769522253,4.49010804742329,1.2578188823292729,0.5563451583590661,-49.00246899358348,8.121990887317487,0.02725952304777468,3.0612882607872796,global
CAM5.3-Oslo_AP3-CTRL2016-PD,0.9752027646952312,4.986540653934033,1.0768372961415533,0.23598944641043532,inf,inf,0.02479723530476885,3.070067695510095,global
CAM5_CTRL2016,0.9621222223281213,3.5706535772686983,5.831149842306395,-0.5812280657568479,inf,inf,0.03787777767187872,3.061288260787279,global
EC-Earth3-AerChem-met2010_AP3-CTRL2019,0.9588141959551976,4.069443449712886,1.050271566189479,0.7881355331041281,inf,inf,0.04118580404480243,3.076136538837823,global
ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.9699797995287739,6.40932105220583,1.7798209554492062,0.6356619153208999,inf,inf,0.03002020047122611,3.066083739871388,global
ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.9366570897683254,5.888362945554985,2.6054611359072344,0.7380380259580654,inf,inf,0.0633429102316746,3.066083739871386,global
GFDL-AM4-met2010_AP3-CTRL,0.9527611664201365,6.7517829845567325,1.917497738909845,0.4929419006019879,inf,inf,0.04723883357986347,3.0751217552836043,global
GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,0.9586138056382466,9.151477020742927,4.853971724874431,0.8429073449310936,inf,inf,0.04138619436175339,3.074687343102641,global
GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,0.984206757613341,18.24222795829674,1.625703304747342,0.10981092677550025,7.529749343239584,37.94294028689931,0.015793242386659023,3.074687343102641,global
INCA_AP3-CTRL,0.9749581217765808,4.071934700012207,2.6910932064056396,0.1976771213050058,,,0.02504187822341919,3.0970723628997803,global
MIROC-SPRINTARS_AP3-CTRL,0.9820215579544292,5.22124835639326,1.4141831756791283,0.6664123313351337,1.0400367699339259e+18,1.8328816676095356e+16,0.017978442045570753,3.127931145138918,global
NorESM2-met2010_AP3-CTRL,0.9701572911182165,3.9633147793444334,0.6275982557138862,0.5213469309355572,inf,inf,0.02984270888178353,3.070067695510095,global
TM5-met2010_AP3-CTRL2019,0.9604746198958697,3.8151329573620973,1.0710997011019059,0.849574932153084,inf,inf,0.039525380104130314,3.076136538837823,global
TM5_AP3-CTRL2016,0.9602542719438523,3.5242114120470696,1.1928719199742657,0.9146149921691271,inf,inf,0.03974572805614773,3.076136538837823,global
CAM5-ATRAS_AP3-CTRL,0.9120077066266186,4.578295238336831,0.5226747112600848,1.6167111260030382,5.485500937808137,5.323889124512103,0.08799229337338144,1.143148346998232,africa
CAM5.3-Oslo_AP3-CTRL2016-PD,0.9095563197541316,4.840159231786542,0.5657118234155833,0.8286586081984919,22.304295399127902,19.690010169576468,0.09044368024586835,1.0767287668289836,africa
CAM5_CTRL2016,0.8425860398980497,5.365747080186868,1.5978919699078178,,280.84041057779143,214.98492632677977,0.1574139601019503,1.143148346998231,africa
EC-Earth3-AerChem-met2010_AP3-CTRL2019,0.8680300742596281,5.163127302339337,1.050695210646053,1.3200795446798683,123.93180227703925,167.84381859784736,0.13196992574037192,1.0901305305441842,africa
ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.8453461087696948,4.502344995679663,1.027968223280059,1.4990814911455477,10.82447230450807,6.985404566695547,0.15465389123030515,1.1266666942644679,africa
ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.841246749199215,5.284147556173943,1.3726600185562083,1.333720766494451,10.72654744639803,6.742365253707316,0.15875325080078495,1.1266666942644692,africa
GFDL-AM4-met2010_AP3-CTRL,0.8756040625768344,7.243238613146652,1.1651552779845218,1.1127126851201354,99.65327053018298,143.03706227887022,0.12439593742316557,1.0926294342863765,africa
GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,0.8034558740442608,11.832587694734906,3.2181148268450017,1.4869454032434664,13.794892064572775,11.095078471858672,0.19654412595573922,0.9770635943786601,africa
GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,0.945316444019016,16.195704225312184,1.102060671132405,0.43079415116246567,5.665042820065576,5.041901955427619,0.054683555980983956,0.9770635943786601,africa
INCA_AP3-CTRL,0.9331774711608887,5.111824035644531,0.788964033126831,0.49130025383783804,19.20176124572754,10.545320510864258,0.06682252883911133,1.3031976222991943,africa
MIROC-SPRINTARS_AP3-CTRL,0.9693648318167909,10.954688042131158,0.42925986613944656,0.8252336081182116,6.2256056082643845,4.321583002364597,0.030635168183209105,1.0969576389969031,africa
NorESM2-met2010_AP3-CTRL,0.9035812646294504,4.1011776128909325,0.605513158567893,1.407357856236068,35.87899823409029,30.21457589131521,0.09641873537054957,1.0767287668289836,africa
TM5-met2010_AP3-CTRL2019,0.8705057107046728,4.841515977368486,0.9919827598765811,1.4472604101932367,103.1587097514788,130.81391801724973,0.12949428929532725,1.0901305305441842,africa
TM5_AP3-CTRL2016,0.8656848623439268,4.550450113911056,0.9122016698463663,1.574402748292793,9.343289682971193,7.331849988076645,0.13431513765607317,1.0901305305441842,africa
CAM5-ATRAS_AP3-CTRL,0.925877766715723,4.259187914181361,0.45263351250273687,1.5702584646939228,3.5617725678998458,3.2770984055897068,0.07412223328427703,1.9092161601706419,amazon
CAM5.3-Oslo_AP3-CTRL2016-PD,0.9370069189016941,3.835520742947863,0.339731906060267,0.9354122902763177,160.24531453753474,205.74883570716045,0.06299308109830593,1.9124130364636225,amazon
CAM5_CTRL2016,0.9082373433615287,9.529374304488972,2.1323918077512483,,773.8124002542459,691.8485672134566,0.09176265663847127,1.9092161601706428,amazon
EC-Earth3-AerChem-met2010_AP3-CTRL2019,0.901734492684812,5.118912366229565,0.7437980896444536,1.1454441684150396,354.33657185163304,1235.4585538317783,0.09826550731518802,1.9007745549874497,amazon
ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.8683550195788252,3.4718907124880367,0.7929354745821032,1.387459762356345,12.461745437503918,7.928188883295078,0.13164498042117478,1.8148616444620007,amazon
ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.8513336755505001,4.406371873946489,1.1801039238913482,1.2181571443678374,11.703399506562265,7.814991678445451,0.1486663244494999,1.814861644462,amazon
GFDL-AM4-met2010_AP3-CTRL,0.908443820508289,7.161128962388279,0.8435783617197867,1.134681734262966,438.81452984791576,1588.6846161978945,0.09155617949171102,1.8669567416451596,amazon
GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,0.8583213047162425,9.892254791502754,2.343012718692826,1.4131498382262369,93.13907656063876,91.20134881816739,0.14167869528375754,1.8803068957452678,amazon
GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,0.9575069304443112,13.88011526280664,0.8894362055694858,0.4159077600196742,18.837530000192015,0.9291440628078464,0.04249306955568877,1.8803068957452678,amazon
INCA_AP3-CTRL,,,,,,,,,amazon
MIROC-SPRINTARS_AP3-CTRL,,,,,,,,,amazon
NorESM2-met2010_AP3-CTRL,0.9198425964013502,4.079601140604638,0.40627970327359886,1.5915871787110087,601.6209357026703,875.9181853727803,0.08015740359864976,1.9124130364636225,amazon
TM5-met2010_AP3-CTRL2019,0.9042797340000527,4.795215568864628,0.6923000638857811,1.3463241596044435,257.7507322729243,880.8514154668999,0.09572026599994732,1.9007745549874497,amazon
TM5_AP3-CTRL2016,0.8874955329362505,4.897692551620193,0.7966145198067396,1.4552726803141223,9.846625315586055,8.383927826276496,0.1125044670637495,1.9007745549874497,amazon
CAM5-ATRAS_AP3-CTRL,0.9478416661435639,5.032349905259141,0.42211413633228195,1.3672771275873208,10.250738317873422,-151.87661471398198,0.05215833385643609,0.37740870897232903,outflow_af
CAM5.3-Oslo_AP3-CTRL2016-PD,0.948525968064557,5.783584312324092,0.570037339692191,0.5216355224594176,19.676227940499864,2910.893072784291,0.051474031935442977,0.31841913026607604,outflow_af
CAM5_CTRL2016,0.9104639884382124,4.895528281611604,1.663764331661745,-1.7975641415891848,9473.539240018648,76481.2497763062,0.08953601156178759,0.3774087089723289,outflow_af
EC-Earth3-AerChem-met2010_AP3-CTRL2019,0.8996651824762697,5.234893323195364,1.0494929358914837,1.0301058551488693,4.238763296875283,80016.67407981,0.1003348175237303,0.4581372131918507,outflow_af
ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.907440630471857,5.7435948037401925,1.156511735204027,0.9708286239787656,6.571347124657736,30924.056076393696,0.09255936952814303,0.38619039535537836,outflow_af
ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.8631159381862437,5.696040301779222,1.6708904152735995,1.076580513259748,8.750318877659774,32221.813028728327,0.13688406181375634,0.3861903953553768,outflow_af
GFDL-AM4-met2010_AP3-CTRL,0.8972575194353956,6.661359652643507,1.3287950841531049,0.8754341628569859,3.07682762017712,73605.20009144477,0.10274248056460444,0.355497837812248,outflow_af
GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,0.8095665149951201,7.931187951407527,3.2416641320409076,0.8051154948418912,8.889515950065164,29261.394978082084,0.1904334850048799,0.47759069384781216,outflow_af
GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,0.9519773766319456,12.114698455848135,1.0790418531415482,0.37368155002592596,9.349558432977169,-125.22211505735383,0.04802262336805441,0.47759069384781216,outflow_af
INCA_AP3-CTRL,0.9732027053833008,3.6895763874053955,1.292996883392334,0.2234496332657105,68.5970458984375,6460.2978515625,0.02679729461669922,0.014365794137120247,outflow_af
MIROC-SPRINTARS_AP3-CTRL,0.9807801543139297,4.561283966314464,0.4887693120025071,0.7331288171916116,3.6162556832560795,35.541811602639775,0.01921984568607027,0.014107236492938671,outflow_af
NorESM2-met2010_AP3-CTRL,0.9493706243676754,5.7063631546566596,0.5613554172172559,0.938236252441531,18.524690818085574,2554.405669332362,0.050629375632324614,0.31841913026607604,outflow_af
TM5-met2010_AP3-CTRL2019,0.9064102816772494,5.115180922507165,1.013338092134533,1.1260241483837181,3.6184464249930617,75353.49366195504,0.09358971832275065,0.4581372131918507,outflow_af
TM5_AP3-CTRL2016,0.9014205438142381,4.845148160287064,0.9770609008673526,1.174793476058925,2.9704738089682383,inf,0.09857945618576192,0.4581372131918507,outflow_af
