region,SSA_obs,AE_obs,AAOD_obs,precip_obs,MAC_x_col,MAC_x_obs,MAC_c,tau_c,E_c_g_m2_day,E_c,AAOD_homogenized,MAC_intercept_used,SSA_homogenized
africa,0.8675366113917297,1.3555834293365479,0.07329895258195875,1.1048943996429443,1-SSA,0.13246338860827034,0.8809927589161803,3.049419468193626,0.027284013848492508,3.157871973205151e-10,True,False,True
amazon,0.9211545368146882,1.2499526739120483,0.028754374385172737,1.8957031965255737,1-SSA,0.07884546318531183,0.5467399093236098,1.6009753057207563,0.032850237473237634,3.802110818661763e-10,True,False,True
boreal_na_west,0.8981270651992409,1.4326667785644531,0.03614274803292801,2.4088926315307617,1-SSA,0.1018729348007591,0.6374748991863336,1.4934549613465389,0.037963474328480816,4.393920639870465e-10,True,False,True
