region,model,SSA,1-SSA,MAC,AE,lifetime,inv_lifetime,precip
africa,CAM5-ATRAS_AP3-CTRL,0.9120077066266186,0.08799229337338144,0.5226747112600848,1.726838226291904,2.739870541175206,0.3649807481674198,0.7229889387036927
africa,CAM5.3-Oslo_AP3-CTRL2016-PD,0.9095563197541316,0.09044368024586835,0.5657118234155833,1.8953868533887597,3.9756565549304907,0.2515307814403208,0.7905730606507901
africa,ECHAM6-SALSA_CTRL2016-PD,0.7968936895053528,0.20310631049464722,1.038843030327695,1.6301245315128658,4.36582012689608,0.2290520385481294,0.44690845505931936
africa,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.8453461087696948,0.15465389123030515,1.027968223280059,1.6207964917242048,3.518948842476991,0.2841757708805165,0.3770453369602601
africa,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.841246749199215,0.15875325080078495,1.3726600185562083,1.3084157396104739,3.598918294914155,0.27786126776291625,0.12243076932910707
africa,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,0.82928961897895,0.17071038102104996,0.8967678757233772,1.5029296914158914,2.6094812139854815,0.3832179341397488,0.6752117039942023
africa,GEOS-i33p2-met2010_AP3-CTRL,0.9234070439917426,0.07659295600825744,0.5450596237079629,1.7131451611757855,2.9177167429632442,0.3427337497417231,1.1229866036249951
africa,GISS-ModelE2p1p1-OMA_AP3-CTRL,0.945316444019016,0.054683555980983956,1.102060671132405,0.43079415116246567,2.9014432713593727,0.34465605785615927,0.9423611405403867
africa,INCA_AP3-CTRL,0.9331773871388871,0.0668226128611129,0.7889639914520027,0.8491603031808248,2.7628262417112954,0.36194820539296735,1.121638511886534
africa,MIROC-SPRINTARS_AP3-CTRL,0.9693648318167909,0.030635168183209105,0.4292598661394465,1.299071524507663,2.5015300626044,0.3997553397215131,3.3492588242359242
africa,NorESM2-met2010_AP3-CTRL,0.9035812646294504,0.09641873537054957,0.605513158567893,1.5805792665260712,3.947449421162752,0.25332813503293533,0.5751225020254733
africa,SPRINTARS-T213_AP3-CTRL2016-PD,0.9261018081155612,0.0738981918844388,0.3630602630227151,1.0722385336526743,2.9388908454044134,0.3402644237582742,0.029839194728405696
africa,TM5_AP3-CTRL2016,0.8656848623439268,0.13431513765607317,0.9122016698463663,1.8516848797782888,3.4885845691604156,0.2866492069133546,1.069504251402035
amazon,CAM5-ATRAS_AP3-CTRL,0.925877766715723,0.07412223328427703,0.45263351250273687,1.7178247138013283,1.3857650751909476,0.7216230354645125,2.0452351822492005
amazon,CAM5.3-Oslo_AP3-CTRL2016-PD,0.9370069189016941,0.06299308109830593,0.339731906060267,2.0217054442352356,3.7329007635818843,0.26788818222975086,1.522214293267985
amazon,ECHAM6-SALSA_CTRL2016-PD,0.839323872795886,0.16067612720411395,0.9792368908938418,1.5425256545822918,2.1288625462525492,0.46973441369444285,1.7152161974549553
amazon,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.8683550195788252,0.13164498042117478,0.7929354745821032,1.427784450013833,1.6684551856404701,0.599356823369595,1.5461412237357737
