model,SSA,MEC,MAC,1-SSA
GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,0.945316444019016,16.195704225312184,1.102060671132405,0.054683555980983956
GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,0.8034558740442608,11.832587694734906,3.2181148268450017,0.19654412595573922
MIROC-SPRINTARS_AP3-CTRL,0.9693648318167909,10.954688042131158,0.4292598661394465,0.030635168183209105
GFDL-AM4-met2010_AP3-CTRL,0.8756040625768344,7.243238613146652,1.1651552779845218,0.12439593742316557
GEOS-i33p2-met2010_AP3-CTRL,0.9234070439917426,5.806800753963186,0.5450596237079629,0.07659295600825744
CAM5_CTRL2016,0.8425860398980497,5.365747080186868,1.5978919699078178,0.1574139601019503
ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.841246749199215,5.284147556173943,1.3726600185562083,0.15875325080078495
EC-Earth3-AerChem-met2010_AP3-CTRL2019,0.8680300742596281,5.163127302339337,1.050695210646053,0.13196992574037192
INCA_AP3-CTRL,0.9331773871388871,5.111823925624787,0.7889639914520027,0.0668226128611129
TM5-met2010_AP3-CTRL2019,0.8705057107046728,4.841515977368486,0.9919827598765811,0.12949428929532725
CAM5.3-Oslo_AP3-CTRL2016-PD,0.9095563197541316,4.840159231786542,0.5657118234155833,0.09044368024586835
CAM5-ATRAS_AP3-CTRL,0.9120077066266186,4.578295238336831,0.5226747112600848,0.08799229337338144
TM5_AP3-CTRL2016,0.8656848623439268,4.550450113911056,0.9122016698463663,0.13431513765607317
ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.8453461087696948,4.502344995679663,1.027968223280059,0.15465389123030515
NorESM2-met2010_AP3-CTRL,0.9035812646294504,4.1011776128909325,0.605513158567893,0.09641873537054957
