region,SSA_obs,rBC_model_mean,SSA_model_mean,rBC_C,SSA_C_Brown,delta_rBC,delta_SSA
africa,0.8675366113917297,0.06690633495856003,0.8849232430228713,0.13024825238545612,0.9168799650672818,0.06334191742689609,-0.04934335367555209
amazon,0.9211545368146882,0.05253076111849741,0.9099038034016019,0.06141907982710115,0.9280785370886905,0.008888318708603744,-0.0069240002740023066
boreal_na_west,0.8904570798849317,0.03277656379052754,0.933990200135261,0.1008253146534894,0.943467056807179,0.06804875086296186,-0.05300997692224729
indonesia_peatland,0.8870129917903642,0.07536428201710381,0.9392876586212815,0.10524648037180459,0.9102912243086762,0.02988219835470078,-0.02327823251831196
