region,model,MEC,AE,lifetime,inv_lifetime,precip,AOD,ensemble
africa,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4800.35612447548,1.3073187407575773,7.872071993059278,0.12703135856502445,0.6752117039942023,0.38072515807769103,paper
africa,TM5_AP3-CTRL2016,4885.166879699091,1.574402748292793,12.459561449700729,0.08025964670080898,1.069504251402035,0.2686201000680883,paper
africa,INCA_AP3-CTRL,5341.172510469473,0.49130025383783804,6.961219743792608,0.14365298565552545,1.121638511886534,0.22598395368386612,paper
africa,SPRINTARS-T213_AP3-CTRL2016-PD,4052.7673848182662,0.616749800507209,14.88590131319492,0.067177658843781,0.029839194728405696,0.21568839836197645,paper
africa,TM5-met2010_AP3-CTRL2019,5102.077592592908,1.4472604101932367,11.796515796688514,0.08477079310831062,1.069504251402035,0.2895128955266581,paper
amazon,ECHAM6-SALSA_CTRL2016-PD,4221.9865432379775,1.5421444219206235,12.165857880501187,0.08219724493105815,1.7152161974549553,0.4719516102498206,paper
amazon,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5591.538776527298,1.272827857357991,4.525956893188158,0.22094775173512174,2.540520111624233,0.3141654422415659,paper
amazon,TM5_AP3-CTRL2016,5410.529384665469,1.4552726803141223,8.606075917730422,0.11619697636408001,2.8960835669547755,0.37785390384324646,paper
amazon,INCA_AP3-CTRL,5395.389308264308,0.4949502147492304,8.855427064207325,0.11292510149418897,2.1270423562093868,0.26088393751779987,paper
amazon,SPRINTARS-T213_AP3-CTRL2016-PD,4392.27246079282,0.5910437826088037,5.289536081068983,0.1890524962253223,0.19323366147071355,0.28577553246284915,paper
amazon,TM5-met2010_AP3-CTRL2019,5083.361004659356,1.3463241596044435,7.627989878976328,0.13109613618603796,2.8960835669547755,0.3139036191486686,paper
se_asia,ECHAM6-SALSA_CTRL2016-PD,4797.65445188508,1.2896399417482196,5.684245051787727,0.1759248573714278,3.148002523614046,0.2051184593544986,paper
se_asia,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5672.383271711913,1.2261519548227602,2.6795988554334773,0.37319018776720236,6.594982681373532,0.1729383284796145,paper
se_asia,TM5_AP3-CTRL2016,4486.911402052934,1.426243124043939,2.5568704611200777,0.39110311421953464,6.77236738135454,0.13061804052001286,paper
se_asia,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5189.794549501831,1.0709029047030731,3.553939575675942,0.2813778846562986,5.201301115964528,0.2266195929948487,paper
se_asia,INCA_AP3-CTRL,6045.097298800617,0.3233228803786379,2.4820070945742985,0.40289973472920915,8.723883139414271,0.1548793618777954,paper
se_asia,SPRINTARS-T213_AP3-CTRL2016-PD,6162.745200586627,0.3951015196640698,2.4841767862929287,0.402547840201129,4.865030711009084,0.2061480122747367,paper
se_asia,TM5-met2010_AP3-CTRL2019,4781.063818042923,1.2430532705220874,2.609927594164886,0.3831523917505366,6.77236738135454,0.1712514528640835,paper
boreal_na,ECHAM6-SALSA_CTRL2016-PD,4393.552105915524,1.8892014981384182,3.086495985603428,0.32399199761294817,2.8404332459873416,0.30967818784427503,paper
boreal_na,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5079.266230196263,1.2894429973664383,4.914559104989495,0.20347705229239227,1.59951847763934,0.19265661650410637,paper
boreal_na,TM5_AP3-CTRL2016,5447.510248116997,1.5509663176287216,5.859539494725248,0.170661875545032,2.5053093900605536,0.23768387123156856,paper
boreal_na,EC-Earth3-AerChem-met2010_AP3-CTRL2019,5614.845929919957,1.4277259575762873,5.79791237479868,0.1724758732723557,2.3431547657613554,0.15873595340016847,paper
